以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,4.660467493403379,9.464214471479947
20,11.39066986105605,4.852424461319405
30,17.137889560231475,6.6838237970540995
40,18.405393039856357,3.8669662102837346
50,19.669433279637552,3.78210157666351
60,21.448323234718433,2.5390189744008596
70,24.654102221213115,4.871408592806099
80,23.310116571237312,2.9664666137391653
90,40.64809200714592,10.406790026657973
100,24.768600074408106,3.013987311609977
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,3.14702245635546,2.232420658258521
20,9.685042975629376,5.858163833877313
30,17.662976729631005,2.235590085950826
40,18.67197143174731,3.2815055750814484
50,24.61704399143294,2.1707740350834532
60,36.11287018975043,3.942636501369755
70,21.710713507653043,5.858163833877313
80,22.15933045305556,5.858163833877313
90,48.82556060083301,3.047380915547252
100,23.484309438989087,2.510335199980781
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,7.404437959904401,24.901180439306245
20,16.785820503452943,24.901180439306245
30,23.41083080977357,24.901180439306245
40,26.996214298227613,24.901180439306245
50,27.36644202603195,24.901180439306245
60,28.42036415724405,24.901180439306245
70,29.627103294145105,24.901180439306245
80,30.606523766893314,24.901180439306245
90,31.197731161886235,24.901180439306245
100,32.61734964083069,24.901180439306245
