
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,2.733003026819596,2.9651219393320396
20,13.017987230043683,2.9651219393320396
30,16.819034844487035,2.9651219393320396
40,18.35721626568803,2.9651219393320396
50,19.814451721498436,2.9651219393320396
60,19.800236197678796,2.9651219393320396
70,21.07376306177167,2.9651219393320396
80,20.75128114644782,2.9651219393320396
90,21.115236113960865,2.9651219393320396
100,21.50267028099885,2.9651219393320396
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,1.5791099592129865,2.0470267681559804
20,10.020364592785576,2.0106090601113618
30,16.963976324529348,5.451275646210178
40,17.27930687038986,0.8378180694109407
50,18.59784503312561,2.370696540430016
60,22.550733242689837,3.2624867487159417
70,20.868781109100205,2.436574706480746
80,21.1420603428498,1.1975207139680597
90,23.090742419202364,3.2624867487159417
100,20.747785575966017,3.1978877693523984
