per,,,,,,,,臒l 0.5,臒l 1.0,臒l 1.5,臒l 2.0,臒l 2.5,臒l 3.0,臒l 3.5,臒l 4.0,臒l 4.5,,臒l 0.5,臒l 1.0,臒l 1.5,臒l 2.0,臒l 2.5,臒l 3.0,臒l 3.5,臒l 4.0,臒l 4.5,,臒l 0.5,臒l 1.0,臒l 1.5,臒l 2.0,臒l 2.5,臒l 3.0,臒l 3.5,臒l 4.0,臒l 4.5
20,,,,,,,,9.093332155,14.74884646,13.08399764,15.09455144,10.95575625,10.14288425,13.26538772,26.52199631,10.98402927,,1.312117146,0.88712444,0.358977505,0.586802694,0.746143069,0.928723659,2.924627635,4.161210602,1.447484617,,1.817360333,0.93719663,0.455035559,0.588306955,0.844065234,1.006189479,3.047137875,6.277442676,2.867900813
30,,,,,,,,9.446232348,20.01947453,19.6182004,19.93137098,14.30159925,15.53862204,17.90626077,15.54190575,21.53165966,,0.327403742,0.21408619,0.66841051,0.742404087,0.376280763,0.606752434,0.806001846,0.712039016,3.926339812,,0.330302813,0.219718302,0.71693515,0.871307412,0.426467532,0.607593408,1.097623763,0.970409534,6.880707451
40,,,,,,,,10.61625637,22.91727783,22.54975488,21.02872805,25.6397918,15.84718309,19.18716421,33.90301614,38.84296092,,0.815083505,0.423701692,0.605370378,0.525132973,0.486394393,0.274842732,1.125315264,3.009955799,7.282286416,,0.832137167,0.46598221,0.710918052,0.737012875,0.6142646,0.30782573,1.64401098,5.457462424,10.99942382
50,,,,,,,,14.63067279,20.91455593,21.56270969,22.64568003,17.52379513,18.16429129,28.04789188,30.84561312,42.79731144,,0.670085234,0.131850932,0.729141068,0.502744252,0.515742088,1.177378055,0.684667919,4.055792876,15.97111265,,0.743016044,0.183801263,0.846871495,0.622365013,0.585684692,1.186596202,1.2782319,7.440523852,25.64170547
60,,,,,,,,17.73953831,21.55979362,21.24494066,25.03840175,18.94025291,18.60953837,22.91228299,38.59402497,37.68896276,,0.417876949,0.241333865,0.621616715,0.151199107,0.409068802,1.088669973,0.647111756,1.042109987,3.797890363,,0.420758958,0.242899624,0.829098618,0.169670516,0.457212527,1.089940963,0.700365828,1.999848521,7.508807887
70,,,,,,,,17.58218475,22.19211258,22.2325491,23.87096438,20.15929982,21.89961937,18.5570016,25.82037184,29.43808697,,0.625850879,0.035427252,0.471522556,0.688312244,0.366445951,0.482107469,0.511326818,0.330803481,1.331137518,,0.714178452,0.040210729,0.471734469,0.689921654,0.439694625,0.554333541,0.533300305,0.490565805,2.170647217
80,,,,,,,,18.42872882,21.36930176,21.9541675,23.42459834,20.89268159,23.02131696,19.17079563,30.09133252,30.1133357,,0.572821048,0.130016203,0.443941313,0.3441653,0.40043438,0.299966896,0.826812469,1.080048541,4.819264627,,0.572940659,0.134794198,0.444205206,0.354464307,0.406207642,0.322750412,0.827049037,1.885112867,6.564311712
90,,,,,,,,18.24082438,21.84039216,23.13865731,23.4100623,21.92626256,21.31687724,19.15792014,27.13935499,29.47401541,,0.542971624,0.445519741,0.265824921,0.385448976,0.525306552,0.244754031,0.935328741,0.254493453,2.616047614,,0.566349639,0.471624959,0.355410594,0.396531066,0.612205204,0.334211605,0.93569974,0.537636482,3.805995014
100,,,,,,,,18.3482172,23.20098296,23.63834431,22.92957629,22.18216887,22.44837912,20.93273831,31.39214461,29.13642567,,0.52087976,0.738638136,0.125642322,0.349033798,0.48304199,0.366015752,0.448049125,0.985597917,2.95842357,,0.606932793,0.775528531,0.144396215,0.404611736,0.630285895,0.379553078,0.486804242,1.435642102,4.215282766
110,,,,,,,,19.14895213,23.83613657,24.59568315,24.14059799,23.16930075,21.41246485,22.43768039,23.45456899,24.41860476,,1.145118792,0.939947438,0.294961129,0.494272691,0.719214889,0.142390984,0.464928899,0.399075555,1.748293273,,1.147332126,0.983995698,0.331631276,0.652699179,0.732259696,0.164692221,0.554150352,0.437773221,1.971147066
