start ,1,226,159,134,106,249,267,63,359,124,184,216,372,156,308,282,303,126,368,269,203,50,229,7,340,19,177,187,275,228,16,81,394,72,33,261,143,218,27,65,284
status,1,226,159,134,106,249,267,63,359,124,184,216,372,156,308,282,303,126,368,269,203,50,229,7,340,19,177,187,275,184,61,81,394,72,33,261,143,218,27,65,284
goal  ,1,226,159,134,106,249,267,63,359,124,184,216,372,156,308,282,303,126,368,269,203,50,229,7,340,19,177,187,275,184,61,81,394,72,33,261,143,218,27,65,284
start ,1,346,386,171,248,136,329,288,324,53,249,2,247,15,267,330,11,28,133,130,198,208,21,84,183,270,3,212,78,89,40,28,172,236,180,336,359,368,325,252,331
status,1,280,352,171,248,136,329,288,324,53,249,2,247,15,267,330,11,28,133,130,198,208,21,84,183,270,3,212,78,89,40,28,172,236,180,336,359,368,325,252,331
goal  ,1,280,352,171,248,136,329,288,324,53,249,2,247,15,267,330,11,28,133,130,198,208,21,84,183,270,3,212,78,89,40,28,172,236,180,336,359,368,325,252,331
start ,1,25,24,329,118,25,35,280,49,338,113,126,12,178,1,220,260,368,151,166,387,114,13,290,333,86,138,126,54,372,68,245,155,289,10,360,203,317,47,362,307
status,1,177,73,329,118,25,35,280,49,338,113,126,12,178,1,220,260,368,151,166,387,114,13,290,333,86,138,126,54,372,68,245,155,289,10,360,203,317,47,362,307
goal  ,1,177,73,329,118,25,35,280,49,338,113,126,12,178,1,220,260,368,151,166,387,114,13,290,333,86,138,126,54,372,68,245,155,289,10,360,203,317,47,362,307
start ,1,267,297,157,395,99,2,111,133,267,10,183,80,228,127,345,4,0,91,214,5,63,395,168,180,169,52,139,359,244,327,97,364,82,324,326,194,168,283,81,167
